"parameter","description","condition_tech","condition_species","condition_reg","value","confidence_l","confidence_h","unit","source","source_details","note"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_solid_storage_and_dry_lot","other_animals",NA,0.02,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","solid storage"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_solid_storage_and_dry_lot","other_animals",NA,0.035,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","dry lot"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_digesters","other_animals",NA,0,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","anaerobic digester – we averaged the confidence interval limits to obtain a value"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_composting","other_animals",NA,0,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","mms_composting – in-vessel"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_composting","other_animals",NA,0.06,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","mms_composting – static pile (forced aeration)"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_composting","other_animals",NA,0.06,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","composting – intensive windrow"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_composting","other_animals",NA,0.04,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","composting – passive windrow"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_other","other_animals",NA,0,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","aerobic treatment – natural aeration system"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_other","other_animals",NA,0,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","aerobic treatment – forced aeration system"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_anaerobic_lagoon","other_cattle",NA,0.35,0.2,0.8,NA,"IPCC-2019-vol.4","Table 10.22","uncovered anaerobic lagoon"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_liquid_system","other_cattle",NA,0.3,0.09,0.36,NA,"IPCC-2019-vol.4","Table 10.22","Liquid / slurry – with natural crust cover"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_liquid_system","other_cattle",NA,0.48,0.15,0.6,NA,"IPCC-2019-vol.4","Table 10.22","Liquid / slurry – without natural crust cover"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_liquid_system","other_cattle",NA,0.1,0.03,0.12,NA,"IPCC-2019-vol.4","Table 10.22","Liquid / slurry – cover"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_solid_storage_and_dry_lot","other_cattle",NA,0.25,0.15,0.3,NA,"IPCC-2019-vol.4","Table 10.22","pit storage below animal confinement"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_daily_spread","other_cattle",NA,0.07,0.05,0.6,NA,"IPCC-2019-vol.4","Table 10.22","Daily spread"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_solid_storage_and_dry_lot","other_cattle",NA,0.22,0.03,0.26,NA,"IPCC-2019-vol.4","Table 10.22","solid storage – covered / compacted"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_solid_storage_and_dry_lot","other_cattle",NA,0.58,0.08,0.7,NA,"IPCC-2019-vol.4","Table 10.22","solid storage – bulking agent addition"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_solid_storage_and_dry_lot","other_cattle",NA,0.17,0.02,0.21,NA,"IPCC-2019-vol.4","Table 10.22","solid storage – additives"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_solid_storage_and_dry_lot","other_cattle",NA,0.45,0.1,0.65,NA,"IPCC-2019-vol.4","Table 10.22","solid storage"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_solid_storage_and_dry_lot","other_cattle",NA,0.3,0.2,0.5,NA,"IPCC-2019-vol.4","Table 10.22","dry lot"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_digesters","other_cattle",NA,0.275,0.05,0.5,NA,"IPCC-2019-vol.4","Table 10.22","anaerobic digester – we averaged the confidence interval limits to obtain a value"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_solid_storage_and_dry_lot","other_cattle",NA,0.25,0.1,0.3,NA,"IPCC-2019-vol.4","Table 10.22","cattle and swine deep bedding"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_composting","other_cattle",NA,0.6,0.12,0.65,NA,"IPCC-2019-vol.4","Table 10.22","mms_composting – in-vessel"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_composting","other_cattle",NA,0.5,0.07,0.6,NA,"IPCC-2019-vol.4","Table 10.22","mms_composting – static pile (forced aeration)"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_composting","other_cattle",NA,0.5,0.07,0.6,NA,"IPCC-2019-vol.4","Table 10.22","composting – intensive windrow"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_composting","other_cattle",NA,0.45,0.07,0.54,NA,"IPCC-2019-vol.4","Table 10.22","composting – passive windrow"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_other","other_cattle",NA,0.85,0.27,1,NA,"IPCC-2019-vol.4","Table 10.22","aerobic treatment – forced aeration system"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_anaerobic_lagoon","other_cattle",NA,0,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","uncovered anaerobic lagoon"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_liquid_system","other_cattle",NA,0,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","Liquid / slurry – with natural crust cover"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_liquid_system","other_cattle",NA,0,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","Liquid / slurry – without natural crust cover"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_liquid_system","other_cattle",NA,0,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","Liquid / slurry – cover"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_solid_storage_and_dry_lot","other_cattle",NA,0,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","pit storage below animal confinement"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_daily_spread","other_cattle",NA,0,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","Daily spread"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_solid_storage_and_dry_lot","other_cattle",NA,0,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","solid storage – covered / compacted"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_solid_storage_and_dry_lot","other_cattle",NA,0.02,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","solid storage – bulking agent addition"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_solid_storage_and_dry_lot","other_cattle",NA,0.02,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","solid storage – additives"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_solid_storage_and_dry_lot","other_cattle",NA,0.02,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","solid storage"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_solid_storage_and_dry_lot","other_cattle",NA,0.035,0,0.07,NA,"IPCC-2019-vol.4","Table 10.22","dry lot"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_digesters","other_cattle",NA,0,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","anaerobic digester – we averaged the confidence interval limits to obtain a value"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_solid_storage_and_dry_lot","other_cattle",NA,0.035,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","cattle and swine deep bedding"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_composting","other_cattle",NA,0,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","mms_composting – in-vessel"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_composting","other_cattle",NA,0.06,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","mms_composting – static pile (forced aeration)"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_composting","other_cattle",NA,0.06,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","composting – intensive windrow"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_composting","other_cattle",NA,0.04,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","composting – passive windrow"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_other","other_cattle",NA,0,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","aerobic treatment – natural aeration system"
"frac_leach_MS","Fraction of nitrogen loss due to leaching","mms_other","other_cattle",NA,0,NA,NA,NA,"IPCC-2019-vol.4","Table 10.22","aerobic treatment – forced aeration system"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_anaerobic_lagoon","poultry",NA,0.4,0.25,0.75,NA,"IPCC-2019-vol.4","Table 10.22","uncovered anaerobic lagoon"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_liquid_system","poultry",NA,0.4,0.25,0.75,NA,"IPCC-2019-vol.4","Table 10.22","Liquid / slurry – without natural crust cover"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_liquid_system","poultry",NA,0.08,0.05,0.15,NA,"IPCC-2019-vol.4","Table 10.22","Liquid / slurry – cover"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_solid_storage_and_dry_lot","poultry",NA,0.28,0.1,0.4,NA,"IPCC-2019-vol.4","Table 10.22","pit storage below animal confinement"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_daily_spread","poultry",NA,0.07,0.05,0.6,NA,"IPCC-2019-vol.4","Table 10.22","Daily spread"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_solid_storage_and_dry_lot","poultry",NA,0.2,0.04,0.24,NA,"IPCC-2019-vol.4","Table 10.22","solid storage – covered / compacted"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_solid_storage_and_dry_lot","poultry",NA,0.54,0.1,0.65,NA,"IPCC-2019-vol.4","Table 10.22","solid storage – bulking agent addition"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_solid_storage_and_dry_lot","poultry",NA,0.16,0.03,0.2,NA,"IPCC-2019-vol.4","Table 10.22","solid storage – additives"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_solid_storage_and_dry_lot","poultry",NA,0.4,0.12,0.6,NA,"IPCC-2019-vol.4","Table 10.22","solid storage"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_digesters","poultry",NA,0.275,0.05,0.5,NA,"IPCC-2019-vol.4","Table 10.22","anaerobic digester – we averaged the confidence interval limits to obtain a value"
"frac_Gas_MS","Fraction of nitrogen loss due to volatilization of NH3 and NOx","mms_composting","poultry",NA,0.6,0.12,0.65,NA,"IPCC-2019-vol.4","Table 10.22","mms_composting – in-vessel"
